IDZonaManzana,IDZona,IDManzana,IDComuna
200886-6,52,1463,4101
200887-4,52,1463,4101
200888-2,52,1463,4101
200889-0,52,1463,4101
200890-4,52,1463,4101
200891-2,52,1463,4101
200892-0,52,1463,4101
200893-9,52,1463,4101
200894-7,52,1463,4101
200895-5,52,1463,4101
200896-3,52,1463,4101
200897-1,52,1463,4101
200898-K,52,1463,4101
200899-8,52,1463,4101
200900-5,52,1463,4101
200901-3,52,1463,4101
200902-1,52,1463,4101
200903-K,52,1463,4101
200904-8,52,1463,4101
200905-6,52,1489,4101
200906-4,52,1489,4101
200907-2,52,1489,4101
200908-0,52,1489,4101
200909-9,52,1489,4101
200910-2,52,1489,4101
200911-0,52,1489,4101
200912-9,52,1489,4101
200913-7,52,1489,4101
200914-5,52,1489,4101
200915-3,52,1489,4101
200916-1,52,1489,4101
200917-K,52,1489,4101
200918-8,52,1489,4101
200919-6,52,1489,4101
200920-K,52,1489,4101
200921-8,52,1489,4101
200922-6,52,1489,4101
200923-4,52,1489,4101
200924-2,52,1489,4101
200925-0,52,1489,4101
200926-9,52,1489,4101
200927-7,52,1489,4101
200928-5,52,1489,4101
200929-3,52,1489,4101
200930-7,52,1489,4101
200931-5,52,2214,4101
200932-3,52,2214,4101
200933-1,52,2214,4101
200934-K,52,2214,4101
200935-8,52,2214,4101
200936-6,52,2214,4101
200937-4,52,2214,4101
200938-2,52,2214,4101
200939-0,52,2214,4101
200940-4,52,2214,4101
200941-2,52,2214,4101
200942-0,52,2214,4101
200943-9,52,2214,4101
200944-7,52,2214,4101
200945-5,52,2214,4101
200946-3,52,2499,4101
200947-1,52,2499,4101
200948-K,52,2499,4101
200949-8,52,2499,4101
200950-1,52,2499,4101
200951-K,52,2499,4101
200952-8,52,2499,4101
200953-6,52,2499,4101
200954-4,52,2499,4101
200955-2,52,2499,4101
200956-0,52,2499,4101
200957-9,52,2499,4101
200958-7,52,2499,4101
200959-5,52,2499,4101
200960-9,52,2499,4101
200961-7,52,2499,4101
200962-5,52,2499,4101
200963-3,52,2499,4101
200964-1,52,2499,4101
200965-K,52,2499,4101
200966-8,52,2499,4101
200967-6,52,2499,4101
200968-4,52,2499,4101
200969-2,52,2499,4101
200970-6,52,2499,4101
200971-4,52,2499,4101
200972-2,52,2499,4101
200973-0,52,2499,4101
200974-9,53,705,4101
200975-7,53,705,4101
200976-5,53,705,4101
200977-3,53,705,4101
200978-1,53,705,4101
200979-K,53,705,4101
200980-3,53,705,4101
200981-1,53,705,4101
200982-K,53,705,4101
200983-8,53,705,4101
200984-6,53,705,4101
200985-4,53,705,4101
200986-2,53,705,4101
200987-0,53,705,4101
200988-9,53,705,4101
200989-7,53,705,4101
200990-0,53,705,4101
200991-9,53,705,4101
200992-7,53,705,4101
200993-5,53,705,4101
200994-3,53,705,4101
200995-1,53,705,4101
200996-K,53,705,4101
200997-8,53,705,4101
200998-6,53,705,4101
200999-4,53,705,4101
201000-3,53,705,4101
201001-1,53,705,4101
201002-K,53,705,4101
201003-8,53,705,4101
201004-6,53,705,4101
201005-4,53,705,4101
