IDFolio,IDPersona,IDViaje,Motorizado
27032016,3,1,1
71037002,4,3,1
18017005,1,6,1
33059007,2,1,0
26027009,1,6,0
35024018,1,4,1
24016026,4,1,1
25024024,2,1,1
19016007,1,1,0
20013009,2,4,0
11005091,3,2,1
46067009,1,4,0
5003003,3,1,0
34050023,1,1,1
33071012,2,1,0
5022101,2,5,0
27032016,3,2,1
71037002,4,4,1
18017005,4,1,0
33059007,2,2,0
26027009,2,1,0
35024018,2,1,1
24016026,4,2,1
25024024,2,2,1
19016007,1,2,0
20013009,2,5,1
11005091,4,1,1
46067010,2,1,0
5029089,1,1,1
34050023,1,2,1
33071012,2,2,1
5022101,3,1,0
27032016,3,3,1
71037002,2,1,0
18017005,4,2,1
33059007,2,3,0
26027009,2,2,0
35024018,2,2,1
24016026,3,1,1
68028002,3,1,1
25024024,2,3,1
20013009,2,6,1
11005091,4,2,1
46067010,2,2,0
5029089,1,2,1
34050023,1,3,1
33071012,2,3,1
5022101,3,2,0
27032016,3,4,1
71037002,2,2,0
18017005,4,3,1
33059007,2,4,0
26027009,2,3,0
35024018,2,3,1
24016026,3,2,1
19013023,2,1,1
20027006,1,1,1
24007022,2,1,0
46029045,4,1,1
34012014,2,1,0
33009006,1,1,1
4005004,1,1,0
5022046,1,1,1
27015023,1,1,1
22030006,1,1,1
18007008,1,1,0
33058031,3,1,0
26027013,4,1,0
35022004,1,1,0
26001020,1,1,0
24018001,3,1,0
68024014,1,1,1
19013023,2,2,1
20027006,1,2,1
24007022,2,2,0
46029045,4,2,0
34012014,2,2,0
33009006,1,2,1
4005004,1,2,0
5022046,1,2,1
27015023,1,2,1
22030006,1,2,1
18007008,1,2,0
33058031,3,2,0
26027013,4,2,0
35022004,1,2,0
26001020,1,2,0
24018001,3,2,0
68024014,1,2,1
19013023,1,1,1
20027006,2,1,1
24007009,1,1,0
46029045,4,3,0
34012014,2,3,0
33009006,2,1,0
4005004,1,3,0
5022046,1,3,1
27015023,1,3,1
22030006,1,3,1
18007008,2,1,1
33058031,3,3,0
26027013,5,1,0
35022004,1,3,1
26001020,1,3,0
24018001,3,3,0
68024014,1,3,1
19013023,1,2,0
20027006,2,2,1
24007009,1,2,0
46029045,4,4,1
34012014,2,4,1
33009006,2,2,0
4005004,1,4,1
5022046,1,4,1
27015023,1,4,1
22030006,1,4,1
18007008,2,2,1
33058031,3,4,0
26027013,5,2,0
35022004,1,4,1
26001020,1,4,1
24018001,3,4,0
68024014,1,4,1
19013023,1,3,1
20027003,3,1,0
24007009,2,1,0
46029045,4,5,1
34012014,1,1,0
33009006,2,3,0
4005004,1,5,1
5022046,2,1,1
27015023,3,1,1
22030017,1,1,0
18007008,2,3,1
33058031,2,1,0
26027013,1,1,0
35022004,1,5,1
26001020,1,5,1
24018001,3,5,0
68024014,1,5,1
25024005,1,1,1
19013023,1,4,1
20027003,3,2,0
24007009,2,2,0
46029045,4,6,1
34012014,1,2,0
33009006,2,4,0
4005004,2,1,0
5022046,2,2,1
27015023,3,2,1
22030001,1,1,1
18007008,2,4,1
33058031,2,2,0
26027013,1,2,1
35022004,2,1,0
26001020,2,1,0
24018001,3,6,0
25024005,1,2,1
19013023,1,5,1
20027003,1,1,0
24007021,2,1,0
46067024,1,1,1
34012014,1,3,0
33071004,1,1,1
4005004,2,2,0
5022046,2,3,0
27015005,1,1,1
22030001,1,2,1
18007003,2,1,1
33058031,2,3,0
26027013,2,1,0
35022004,2,2,0
26001020,2,2,0
24018001,3,7,0
25024005,1,3,1
19013014,1,1,0
20027003,1,2,0
24007021,2,2,0
46067024,1,2,1
34012005,1,1,0
33071004,1,2,1
4009013,5,1,0
5022046,2,4,1
27015005,1,2,1
22030001,2,1,1
18007003,2,2,1
33058031,2,4,0
26027013,2,2,0
35022004,2,3,1
26001020,2,3,0
24018001,3,8,0
68004004,2,1,0
25024005,2,1,1
19013014,1,2,1
20027003,1,3,0
24007021,2,3,0
46067024,2,1,0
34012005,1,2,0
33071004,3,1,1
4009013,5,2,0
5022046,2,5,1
27015005,3,1,1
22030001,2,2,1
18007003,2,3,0
33058024,4,1,1
26027013,2,3,0
35022004,2,4,1
26001021,3,1,0
24018001,1,1,0
68004004,2,2,0
25024005,3,1,1
19012014,2,1,1
20027003,1,4,0
24007021,2,4,0
46067024,2,2,0
34012007,1,1,1
33071004,3,2,1
4009013,1,1,0
5022046,2,6,1
27015005,3,2,1
22030001,3,1,1
18007003,2,4,0
33058024,4,2,1
26027013,2,4,0
35022004,2,5,1
26001021,3,2,0
24018001,1,2,0
68004004,1,1,1
25024005,3,2,1
19012014,2,2,1
20027003,1,5,0
24007021,2,5,0
46067027,2,1,0
34012007,1,2,1
33071004,4,1,1
4009013,1,2,0
5022046,2,7,1
27015005,2,1,1
22030001,3,2,1
18007003,2,5,0
