IDFolio,Factor,DiaEncuesta,DiaEncuestaHogar
604571,39.774737825496004,Jueves,4
604575,42.17709424128292,Jueves,4
604581,39.774737825496004,Jueves,4
604586,34.591531699846314,Jueves,4
604609,34.591531699846314,Jueves,4
604611,62.8784390317926,Jueves,4
604660,26.868624520755763,Miércoles,3
604829,48.4736595530741,Miércoles,3
604873,86.4563425140879,Jueves,4
604884,25.499240956137925,Jueves,4
604889,80.30304536560934,Jueves,4
604957,59.12254229764625,Jueves,4
604975,59.12254229764625,Jueves,4
605012,26.611598720558447,Jueves,4
605035,59.48661600070668,Miércoles,3
605053,25.499240956137925,Miércoles,3
605056,25.499240956137925,Martes,2
605059,25.499240956137925,Martes,2
605063,25.499240956137925,Miércoles,3
605067,80.30304536560934,Miércoles,3
605079,59.48661600070668,Miércoles,3
605090,26.611598720558447,Jueves,4
605099,26.611598720558447,Jueves,4
605102,25.499240956137925,Jueves,4
605108,25.499240956137925,Jueves,4
605120,59.48661600070668,Jueves,4
605122,26.611598720558447,Jueves,4
605125,86.4563425140879,Jueves,4
605135,26.611598720558447,Miércoles,3
605140,26.611598720558447,Miércoles,3
605147,26.611598720558447,Miércoles,3
605148,25.499240956137925,Miércoles,3
605154,80.30304536560934,Miércoles,3
605164,25.499240956137925,Jueves,4
605168,26.611598720558447,Miércoles,3
605183,59.48661600070668,Miércoles,3
605195,59.48661600070668,Miércoles,3
605215,26.611598720558447,Jueves,4
605220,26.611598720558447,Miércoles,3
605226,25.499240956137925,Miércoles,3
605250,25.499240956137925,Martes,2
605255,80.30304536560934,Martes,2
605262,26.611598720558447,Jueves,4
605268,26.611598720558447,Martes,2
605284,80.30304536560934,Jueves,4
605394,36.3548879094201,Miércoles,3
605401,36.3548879094201,Miércoles,3
605413,41.681592664200174,Miércoles,3
605417,27.348116979239393,Miércoles,3
605442,40.31534299547816,Miércoles,3
605466,41.681592664200174,Jueves,4
605474,27.348116979239393,Jueves,4
605527,41.681592664200174,Martes,2
605594,27.348116979239393,Miércoles,3
605641,41.681592664200174,Jueves,4
605657,41.34239426899533,Jueves,4
605710,41.34239426899533,Miércoles,3
605715,41.681592664200174,Miércoles,3
605734,40.31534299547816,Miércoles,3
605747,27.348116979239393,Miércoles,3
605775,27.348116979239393,Martes,2
605789,40.31534299547816,Martes,2
605828,11.962711570764966,Miércoles,3
605879,11.962711570764966,Miércoles,3
605913,118.92556352156534,Miércoles,3
605989,24.440969219304122,Jueves,4
606000,53.78062921517566,Martes,2
606009,28.06335541664223,Jueves,4
606015,28.06335541664223,Jueves,4
606025,53.78062921517566,Jueves,4
606039,24.440969219304122,Jueves,4
606069,28.06335541664223,Jueves,4
606079,53.78062921517566,Jueves,4
606081,53.78062921517566,Jueves,4
606112,24.440969219304122,Jueves,4
606120,28.06335541664223,Jueves,4
606125,24.440969219304122,Jueves,4
606146,28.06335541664223,Martes,2
606150,28.06335541664223,Martes,2
606223,24.440969219304122,Martes,2
606237,42.423626644076045,Miércoles,3
606258,24.440969219304122,Miércoles,3
606265,28.06335541664223,Miércoles,3
606281,24.440969219304122,Miércoles,3
606291,28.06335541664223,Jueves,4
606306,28.06335541664223,Martes,2
606308,54.05504427367595,Martes,2
606352,24.440969219304122,Jueves,4
606359,54.05504427367595,Martes,2
606392,42.423626644076045,Miércoles,3
