IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,IDJornadaTrabajo,Ingreso,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor
607666,2,1948,1,1,3,-1,0,4,1,230000,1,1,1,1,27.1004501414113
607666,3,1973,2,2,4,-1,0,9,0,78000,1,1,0,0,44.17167845999627
607666,4,1980,2,2,4,-1,0,4,1,200000,1,1,1,2,44.17167845999627
607670,1,1959,1,0,4,-1,0,4,1,270000,1,0,1,2,10.555038259632592
607670,2,1986,2,2,6,6,0,14,0,0,2,0,1,5,9.360056828122307
607670,3,2003,1,3,2,4,0,14,0,0,2,0,1,3,3.150631840333924
607677,1,1970,1,0,4,-1,0,4,1,240000,1,0,1,2,47.77900601585128
607677,2,1973,2,1,4,-1,0,11,0,0,2,0,1,8,14.581584313153328
607677,3,1993,1,2,3,4,0,14,0,0,2,1,1,2,54.228143464456146
607677,4,2004,1,2,2,4,0,14,0,0,2,0,1,2,4.908218471655442
607677,5,2009,1,2,1,2,0,14,0,0,2,0,1,2,68.34337978187767
607721,1,1959,1,0,4,-1,0,4,1,190000,1,0,1,4,10.555038259632592
607721,2,1959,2,1,4,-1,0,4,1,184000,1,0,1,2,36.81530197817109
607721,3,1989,2,2,6,6,0,14,0,80000,1,1,1,4,183.51105398469625
607727,1,1961,1,0,5,-1,1,3,3,400000,1,0,1,9,16.443188661950366
607727,2,1960,2,1,4,-1,0,11,0,0,2,0,1,2,57.35279599970048
607727,3,1984,1,2,7,-1,1,1,1,400000,1,1,1,6,47.77900601585128
607727,4,1989,1,2,6,6,0,14,0,0,2,0,1,3,54.228143464456146
607727,5,1985,2,3,6,6,0,14,0,0,2,0,1,1,14.581584313153328
607739,1,1967,2,0,4,-1,0,4,1,150000,1,1,1,2,80.16507862570012
607739,2,2002,1,2,3,4,0,14,0,0,2,0,1,2,6.860480170738791
607739,3,2003,2,2,3,4,0,14,0,0,2,0,1,2,57.478098976013676
607739,4,1986,1,2,4,-1,0,4,1,300000,1,0,1,2,66.7832789518844
607745,1,1950,1,0,4,-1,0,4,1,250000,1,1,1,2,56.49328597800967
607745,2,1950,2,1,4,-1,0,11,0,0,2,0,1,4,13.133983979711408
607774,1,1948,1,0,4,-1,0,3,2,200000,1,0,1,2,56.49328597800967
607774,2,1975,1,2,4,-1,0,4,1,300000,1,1,0,0,64.00794689599584
607798,1,1965,2,0,3,-1,0,11,0,109000,1,1,1,5,80.16507862570012
607798,2,1995,1,2,3,4,0,14,0,0,2,0,1,3,72.19608520856227
607798,3,2002,1,2,2,4,0,14,0,0,2,0,1,2,6.860480170738791
607798,4,2005,1,2,2,4,0,14,0,0,2,0,1,2,6.860480170738791
607799,1,1972,1,0,7,-1,1,1,1,950000,1,0,1,4,66.7832789518844
607799,2,1973,2,1,5,-1,1,4,1,450000,1,1,1,7,20.381462360742038
607799,3,1988,1,2,6,6,0,14,0,0,2,0,1,3,75.79758421152782
607799,4,2003,2,2,2,4,0,14,0,0,2,0,1,3,57.478098976013676
607831,1,1958,1,0,3,-1,0,3,1,380000,1,0,1,6,10.555038259632592
607831,2,1976,2,1,4,-1,0,11,0,0,2,0,1,2,9.360056828122307
607831,3,1984,1,2,3,4,0,14,0,0,2,1,1,2,30.66979567481948
607852,1,1938,1,0,4,-1,0,9,1,350000,1,0,1,4,205.74005857375008
607852,2,1949,2,1,5,-1,1,11,0,0,2,0,1,2,260.22018559403284
607852,3,1969,1,2,7,-1,1,1,2,500000,1,0,1,2,436.4427929756278
607852,4,1980,2,2,4,7,1,14,0,400000,1,1,1,2,387.0312209193729
607852,5,1998,1,3,3,4,0,14,0,0,2,0,1,2,130.27622697420188
607852,6,2000,1,3,2,4,0,14,0,0,2,0,1,2,130.27622697420188
607860,1,1989,2,0,4,-1,0,4,1,250000,1,0,1,6,183.51105398469625
607860,2,2009,1,2,1,-1,0,13,0,0,2,1,0,0,43.870261615349996
607860,3,1963,2,3,4,-1,0,11,0,0,2,1,0,0,36.81530197817109
607861,1,1942,1,0,3,-1,0,9,0,265000,1,1,1,2,4.97566742935368
607861,2,1949,2,1,4,-1,0,4,1,140000,1,0,1,2,6.293228022273908
607861,3,1972,2,2,5,-1,1,1,1,180000,1,0,1,4,9.360056828122307
607889,1,1934,1,0,3,-1,0,9,0,155000,1,0,1,2,4.97566742935368
607889,2,1941,2,1,4,-1,0,9,0,75000,1,0,1,4,15.107825602953724
607889,3,1988,1,2,4,-1,0,4,1,407000,1,0,1,2,34.809557974644584
607901,1,1943,1,0,3,-1,0,9,0,130000,1,0,1,4,10.384231442783523
607901,2,1945,2,1,3,-1,0,9,0,75000,1,0,1,2,31.530073077786174
607904,1,1972,1,0,4,-1,0,4,1,300000,1,0,1,2,47.77900601585128
607904,2,1980,2,1,4,-1,0,11,0,0,2,0,1,6,14.581584313153328
607904,3,1997,2,2,3,4,0,14,0,0,2,0,1,2,92.54670329026287
